domain_token_count,executable,NumberofDotsinURL,Arguments_LongestWordLength,NumberRate_Domain,NumberRate_FileName,NumberRate_AfterPath,Entropy_Domain,class
19,0,18,-1,0.041,0.656,-1,0.612,phishing
15,0,15,-1,0.083,0,-1,0.633,phishing
15,0,15,-1,0.083,0,-1,0.633,phishing
14,0,13,-1,0.038,-1,-1,0.659,phishing
13,0,13,-1,0.232,0,-1,0.705,phishing
13,0,12,-1,0.37,0.625,-1,0.562,phishing
12,0,11,-1,0.115,0,-1,0.634,phishing
11,0,10,-1,0.176,0,-1,0.644,phishing
11,0,10,-1,0.145,0,-1,0.643,phishing
11,0,10,-1,0.123,0,-1,0.641,phishing
10,0,11,-1,0.156,0.781,-1,0.68,phishing
10,0,10,-1,0.178,0.594,-1,0.736,phishing
10,0,10,-1,0.039,0,-1,0.617,phishing
10,0,9,-1,0.208,0.719,-1,0.713,phishing
10,0,9,-1,0.208,0.594,-1,0.713,phishing
10,0,9,-1,0.208,0.594,-1,0.713,phishing
10,0,9,-1,0.208,0.563,-1,0.713,phishing
10,0,9,-1,0.208,0.531,-1,0.713,phishing
10,0,9,-1,0.208,0.5,-1,0.713,phishing
10,0,9,-1,0.208,0.438,-1,0.713,phishing
10,0,9,-1,0.208,0,-1,0.713,phishing
9,0,8,-1,0.123,-1,-1,0.647,phishing
9,0,8,-1,0,0.625,-1,0.708,phishing
8,0,9,1,0,0,0,0.7,malware
8,0,9,0,0.13,0.17,0.173,0.756,malware
8,0,9,0,0.13,0.17,0.173,0.756,malware
8,0,9,0,0.13,0.17,0.173,0.756,malware
8,0,9,0,0.13,0.17,0.173,0.756,malware
8,0,9,0,0.13,0.17,0.173,0.756,malware
8,0,9,0,0.13,0.17,0.173,0.756,malware
8,0,9,0,0.13,0.17,0.173,0.756,malware
8,0,9,0,0.13,0.17,0.173,0.756,malware
8,0,9,0,0.13,0.17,0.173,0.748,malware
8,0,9,0,0.13,0.17,0.173,0.748,malware
8,0,9,0,0.13,0.17,0.173,0.748,malware
8,0,9,0,0.13,0.17,0.173,0.748,malware
8,0,9,0,0.13,0.17,0.173,0.748,malware
8,0,9,0,0.13,0.17,0.173,0.748,malware
8,0,9,0,0.13,0.17,0.173,0.748,malware
8,0,9,0,0.13,0.17,0.173,0.748,malware
8,0,9,0,0.13,0.17,0.173,0.748,malware
8,0,9,0,0.13,0.17,0.173,0.748,malware
8,0,9,0,0.13,0.17,0.173,0.748,malware
8,0,9,0,0.13,0.17,0.173,0.748,malware
8,0,9,0,0.13,0.17,0.173,0.741,malware
8,0,9,0,0.13,0.17,0.173,0.741,malware
8,0,9,0,0.13,0.17,0.173,0.741,malware
8,0,9,0,0.13,0.17,0.173,0.741,malware
8,0,9,0,0.13,0.17,0.173,0.741,malware
8,0,9,0,0.13,0.17,0.173,0.733,malware
8,0,9,0,0.13,0.17,0.173,0.733,malware
8,0,9,0,0.13,0.17,0.173,0.73,malware
8,0,9,0,0.13,0.17,0.173,0.73,malware
8,0,9,-1,0,0.308,-1,0.687,malware
8,0,8,0,0.023,0,0,0.705,malware
8,0,8,-1,0.411,0,-1,0.665,phishing
8,0,8,-1,0.252,0,-1,0.685,phishing
8,0,8,-1,0,0,-1,0.751,phishing
8,0,8,-1,0,0,-1,0.708,phishing
8,0,7,0,0,0,0,0.694,malware
8,0,7,0,0,0,0,0.692,malware
8,0,7,-1,0.411,0.688,-1,0.665,phishing
8,0,7,-1,0.269,-1,-1,0.711,phishing
8,0,7,-1,0.178,0,-1,0.788,phishing
8,0,7,-1,0.178,0,-1,0.78,phishing
8,0,7,-1,0.178,0,-1,0.78,phishing
8,0,7,-1,0.178,0,-1,0.78,phishing
8,0,7,-1,0.178,0,-1,0.78,phishing
8,0,7,-1,0.178,0,-1,0.78,phishing
8,0,7,-1,0.178,0,-1,0.772,phishing
8,0,7,-1,0.178,0,-1,0.772,phishing
8,0,7,-1,0.178,0,-1,0.772,phishing
8,0,7,-1,0.178,0,-1,0.772,phishing
8,0,7,-1,0.178,0,-1,0.772,phishing
8,0,7,-1,0.178,0,-1,0.772,phishing
8,0,7,-1,0.178,0,-1,0.772,phishing
8,0,7,-1,0.178,0,-1,0.772,phishing
8,0,7,-1,0.178,0,-1,0.772,phishing
8,0,7,-1,0.178,0,-1,0.769,phishing
8,0,7,-1,0.178,0,-1,0.769,phishing
8,0,7,-1,0.178,0,-1,0.769,phishing
8,0,7,-1,0.178,0,-1,0.764,phishing
8,0,7,-1,0.178,0,-1,0.764,phishing
8,0,7,-1,0.178,0,-1,0.764,phishing
8,0,7,-1,0.178,0,-1,0.764,phishing
8,0,7,-1,0.178,0,-1,0.764,phishing
8,0,7,-1,0.178,0,-1,0.764,phishing
8,0,7,-1,0.178,0,-1,0.761,phishing
8,0,7,-1,0.178,0,-1,0.761,phishing
8,0,7,-1,0.178,0,-1,0.761,phishing
8,0,7,-1,0.178,0,-1,0.761,phishing
8,0,7,-1,0.178,0,-1,0.761,phishing
8,0,7,-1,0.178,0,-1,0.761,phishing
8,0,7,-1,0.178,0,-1,0.761,phishing
8,0,7,-1,0.178,0,-1,0.761,phishing
8,0,7,-1,0.178,0,-1,0.749,phishing
8,0,7,-1,0.178,0,-1,0.747,phishing
8,0,7,-1,0.174,0.333,-1,0.756,phishing
8,0,7,-1,0.174,0,-1,0.775,phishing
8,0,7,-1,0.174,0,-1,0.775,phishing
8,0,7,-1,0.174,0,-1,0.775,phishing
8,0,7,-1,0.174,0,-1,0.764,phishing
8,0,7,-1,0.174,0,-1,0.764,phishing
8,0,7,-1,0.174,0,-1,0.764,phishing
8,0,7,-1,0.174,0,-1,0.756,phishing
8,0,7,-1,0.174,0,-1,0.756,phishing
8,0,7,-1,0.174,0,-1,0.756,phishing
8,0,7,-1,0.174,0,-1,0.756,phishing
8,0,7,-1,0.174,0,-1,0.756,phishing
8,0,7,-1,0.174,0,-1,0.743,phishing
8,0,7,-1,0.174,0,-1,0.743,phishing
8,0,7,-1,0.161,-1,-1,0.781,phishing
8,0,7,-1,0.133,0.4,-1,0.777,phishing
8,0,7,-1,0.133,0.4,-1,0.769,phishing
8,0,7,-1,0.133,0.4,-1,0.769,phishing
8,0,7,-1,0.133,0.4,-1,0.769,phishing
8,0,7,-1,0.133,0.4,-1,0.769,phishing
8,0,7,-1,0.133,0.4,-1,0.769,phishing
