avgpathtokenlen,pathurlRatio,ArgUrlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,argPathRatio,CharacterContinuityRate,NumberRate_URL,NumberRate_FileName,NumberRate_AfterPath,Entropy_Domain,class
105,0.876,0.008,0.087,0.095,9.174,0.01,0.435,0.199,0.219,-1,0.904,phishing
66,0.874,0.009,0.091,0.096,9.136,0.01,0.682,0.257,0.293,-1,0.87,phishing
66,0.874,0.009,0.091,0.096,9.136,0.01,0.682,0,0,-1,0.87,phishing
66,0.874,0.009,0.091,0.096,9.136,0.01,0.682,0,0,-1,0.87,phishing
65,0.948,0.006,0.182,0.032,30,0.006,0.727,0.141,0.141,-1,1,benign
62,0.935,0.01,0.333,0.03,31.333,0.011,0.667,0.095,0.156,-1,0.871,benign
58.667,0.861,0.01,0.091,0.106,8.136,0.011,0.682,0,0,-1,0.87,phishing
51,0.63,0.012,0.037,0.327,1.926,0.019,0.167,0.109,0.167,-1,0.733,phishing
47,0.873,0.012,0.143,0.085,10.286,0.014,0.5,0.4,0.512,-1,0.737,phishing
41.8,0.915,0.009,0.154,0.056,16.462,0.009,0.846,0.291,0.337,-1,0.818,phishing
38,0.729,0.019,0.091,0.206,3.546,0.026,0.682,0.14,0.197,-1,0.773,phishing
35.4,0.863,0.01,0.091,0.104,8.273,0.011,0.682,0.379,0.656,-1,0.773,phishing
35.4,0.863,0.01,0.091,0.104,8.273,0.011,0.682,0.374,0.625,-1,0.773,phishing
34.6,0.903,0.01,0.167,0.061,14.75,0.011,1,0.602,0.625,-1,0.684,Defacement
33.75,0.842,0.012,0.105,0.116,7.263,0.015,0.737,0.122,0.152,-1,0.876,phishing
32.8,0.854,0.01,0.091,0.111,7.682,0.012,0.682,0.369,0.688,-1,0.773,phishing
32.8,0.854,0.01,0.091,0.111,7.682,0.012,0.682,0.359,0.531,-1,0.773,phishing
31.5,0.692,0.021,0.091,0.234,2.955,0.031,0.682,0.064,0.095,-1,0.773,phishing
31.4,0.857,0.011,0.1,0.106,8.1,0.012,0.65,0.762,0,-1,0.876,phishing
29.8,0.865,0.011,0.118,0.096,9.059,0.013,0.529,0.427,0.719,-1,0.806,phishing
29.5,0.819,0.013,0.1,0.134,6.1,0.016,0.45,0.121,0.165,-1,0.741,phishing
29.5,0.813,0.013,0.095,0.14,5.81,0.016,0.667,0.713,0.813,-1,0.797,phishing
29.5,0.813,0.013,0.095,0.14,5.81,0.016,0.667,0.66,0.563,-1,0.797,phishing
29.5,0.914,0.008,0.125,0.06,15.188,0.008,0.375,0.342,0.446,-1,0.746,phishing
29,0.828,0.014,0.111,0.124,6.667,0.017,0.278,0.159,0.186,-1,0.803,phishing
29,0.828,0.014,0.111,0.124,6.667,0.017,0.278,0.152,0.178,-1,0.803,phishing
29,0.828,0.014,0.111,0.124,6.667,0.017,0.278,0.152,0.178,-1,0.803,phishing
29,0.828,0.014,0.111,0.124,6.667,0.017,0.278,0.138,0.161,-1,0.803,phishing
29,0.828,0.014,0.111,0.124,6.667,0.017,0.278,0.131,0.153,-1,0.803,phishing
29,0.828,0.014,0.111,0.124,6.667,0.017,0.278,0.097,0.11,-1,0.803,phishing
29,0.833,0.014,0.118,0.118,7.059,0.017,0.294,0.201,0.237,-1,0.834,phishing
29,0.833,0.014,0.118,0.118,7.059,0.017,0.294,0.16,0.186,-1,0.834,phishing
29,0.833,0.014,0.118,0.118,7.059,0.017,0.294,0.153,0.178,-1,0.834,phishing
29,0.833,0.014,0.118,0.118,7.059,0.017,0.294,0.146,0.17,-1,0.834,phishing
29,0.833,0.014,0.118,0.118,7.059,0.017,0.294,0.139,0.161,-1,0.834,phishing
29,0.833,0.014,0.118,0.118,7.059,0.017,0.294,0.132,0.153,-1,0.834,phishing
29,0.833,0.014,0.118,0.118,7.059,0.017,0.294,0.132,0.153,-1,0.834,phishing
29,0.833,0.014,0.118,0.118,7.059,0.017,0.294,0.125,0.144,-1,0.834,phishing
29,0.833,0.014,0.118,0.118,7.059,0.017,0.294,0.118,0.136,-1,0.834,phishing
29,0.833,0.014,0.118,0.118,7.059,0.017,0.294,0.111,0.127,-1,0.834,phishing
29,0.833,0.014,0.118,0.118,7.059,0.017,0.294,0.111,0.127,-1,0.834,phishing
29,0.833,0.014,0.118,0.118,7.059,0.017,0.294,0.111,0.127,-1,0.834,phishing
29,0.833,0.014,0.118,0.118,7.059,0.017,0.294,0.097,0.11,-1,0.834,phishing
29,0.833,0.014,0.118,0.118,7.059,0.017,0.294,0.097,0.11,-1,0.834,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.175,0.203,-1,0.82,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.175,0.203,-1,0.82,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.175,0.203,-1,0.82,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.175,0.203,-1,0.82,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.175,0.203,-1,0.813,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.161,0.186,-1,0.82,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.161,0.186,-1,0.82,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.161,0.186,-1,0.813,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.161,0.186,-1,0.813,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.154,0.178,-1,0.82,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.147,0.17,-1,0.82,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.147,0.17,-1,0.813,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.14,0.161,-1,0.82,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.14,0.161,-1,0.82,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.119,0.136,-1,0.82,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.119,0.136,-1,0.82,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.112,0.127,-1,0.82,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.112,0.127,-1,0.813,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.105,0.119,-1,0.82,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.105,0.119,-1,0.813,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.084,0.093,-1,0.82,phishing
29,0.839,0.014,0.125,0.112,7.5,0.017,0.313,0.084,0.093,-1,0.813,phishing
29,0.845,0.014,0.133,0.106,8,0.017,0.333,0.162,0.186,-1,0.851,phishing
29,0.845,0.014,0.133,0.106,8,0.017,0.333,0.162,0.186,-1,0.851,phishing
29,0.845,0.014,0.133,0.106,8,0.017,0.333,0.155,0.178,-1,0.851,phishing
29,0.845,0.014,0.133,0.106,8,0.017,0.333,0.148,0.17,-1,0.851,phishing
29,0.845,0.014,0.133,0.106,8,0.017,0.333,0.148,0.17,-1,0.851,phishing
29,0.845,0.014,0.133,0.106,8,0.017,0.333,0.141,0.161,-1,0.851,phishing
29,0.845,0.014,0.133,0.106,8,0.017,0.333,0.141,0.161,-1,0.851,phishing
29,0.845,0.014,0.133,0.106,8,0.017,0.333,0.127,0.144,-1,0.851,phishing
29,0.845,0.014,0.133,0.106,8,0.017,0.333,0.106,0.119,-1,0.851,phishing
29,0.845,0.014,0.133,0.106,8,0.017,0.333,0.106,0.119,-1,0.851,phishing
29,0.845,0.014,0.133,0.106,8,0.017,0.333,0.106,0.119,-1,0.851,phishing
29,0.845,0.014,0.133,0.106,8,0.017,0.333,0.099,0.11,-1,0.851,phishing
29,0.845,0.014,0.133,0.106,8,0.017,0.333,0.099,0.11,-1,0.851,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.177,0.203,-1,0.873,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.177,0.203,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.163,0.186,-1,0.873,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.163,0.186,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.163,0.186,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.163,0.186,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.156,0.178,-1,0.873,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.156,0.178,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.149,0.17,-1,0.873,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.149,0.17,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.149,0.17,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.142,0.161,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.142,0.161,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.142,0.161,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.128,0.144,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.128,0.144,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.128,0.144,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.121,0.136,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.121,0.136,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.121,0.136,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.121,0.136,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.121,0.136,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.114,0.127,-1,0.873,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.114,0.127,-1,0.873,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.114,0.127,-1,0.873,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.114,0.127,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.114,0.127,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.106,0.119,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.099,0.11,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.099,0.11,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.085,0.093,-1,0.836,phishing
29,0.851,0.014,0.143,0.099,8.571,0.017,0.357,0.085,0.093,-1,0.836,phishing
29,0.912,0.008,0.125,0.061,14.938,0.008,0.375,0.347,0.455,-1,0.746,phishing
28.667,0.761,0.017,0.095,0.18,4.238,0.023,0.667,0.692,1,-1,0.797,phishing
27.75,0.852,0.015,0.154,0.096,8.846,0.017,0.846,0.252,0.327,-1,0.818,phishing
26.25,0.788,0.015,0.091,0.161,4.909,0.019,0.682,0.292,1,-1,0.87,phishing
25.667,0.794,0.02,0.143,0.137,5.786,0.025,0.5,0.265,0.355,-1,0.873,phishing
25.25,0.894,0.009,0.111,0.077,11.667,0.01,0.333,0.051,0.06,-1,0.82,phishing
25.2,0.819,0.013,0.091,0.138,5.955,0.015,0.682,0.419,0.688,-1,0.829,phishing
24.5,0.789,0.016,0.1,0.156,5.05,0.02,0.65,0.117,0.156,-1,0.821,malware
24,0.775,0.016,0.091,0.171,4.546,0.02,0.364,0.442,0.594,-1,0.85,phishing
23.6,0.837,0.014,0.118,0.116,7.235,0.016,0.588,0.497,0.781,-1,0.806,phishing
23.5,0.789,0.016,0.105,0.155,5.105,0.021,0.79,0.187,0.13,-1,0.833,malware
23.5,0.789,0.016,0.105,0.155,5.105,0.021,0.79,0.187,0.13,-1,0.833,malware
23.5,0.831,0.017,0.154,0.11,7.539,0.02,0.846,0.229,0.31,-1,0.818,phishing
23.333,0.74,0.126,0.652,0.193,3.826,0.171,0.391,0.387,0.575,0.067,0.858,malware
23.333,0.74,0.126,0.652,0.193,3.826,0.171,0.391,0.378,0.563,0.067,0.858,malware
23.333,0.74,0.126,0.652,0.193,3.826,0.171,0.391,0.37,0.55,0.067,0.858,malware
23.333,0.74,0.126,0.652,0.193,3.826,0.171,0.391,0.353,0.525,0.067,0.858,malware
23.333,0.74,0.126,0.652,0.193,3.826,0.171,0.391,0.353,0.525,0.067,0.858,malware
23.333,0.74,0.126,0.652,0.193,3.826,0.171,0.391,0.345,0.513,0.067,0.858,malware
23.333,0.74,0.126,0.652,0.193,3.826,0.171,0.391,0.336,0.5,0.067,0.858,malware
23.333,0.74,0.126,0.652,0.193,3.826,0.171,0.391,0.336,0.5,0.067,0.858,malware
23.333,0.74,0.126,0.652,0.193,3.826,0.171,0.391,0.336,0.5,0.067,0.858,malware
23.333,0.74,0.126,0.652,0.193,3.826,0.171,0.391,0.336,0.5,0.067,0.858,malware
23.333,0.74,0.126,0.652,0.193,3.826,0.171,0.391,0.328,0.488,0.067,0.858,malware
23.333,0.74,0.126,0.652,0.193,3.826,0.171,0.391,0.319,0.475,0.067,0.858,malware
23.333,0.74,0.126,0.652,0.193,3.826,0.171,0.391,0.294,0.438,0.067,0.858,malware
23.333,0.74,0.126,0.652,0.193,3.826,0.171,0.391,0.261,0.388,0.067,0.858,malware
23.333,0.742,0.125,0.652,0.192,3.87,0.169,0.391,0.317,0.063,0.067,0.858,malware
23,0.9,0.008,0.118,0.071,12.647,0.009,0.471,0.155,0.173,-1,0.77,malware
23,0.9,0.008,0.118,0.071,12.647,0.009,0.471,0.138,0.154,-1,0.77,malware
22.5,0.802,0.017,0.125,0.138,5.813,0.022,0.563,0.086,0.091,-1,0.863,malware
22.5,0.802,0.017,0.125,0.138,5.813,0.022,0.563,0.086,0.091,-1,0.863,malware
