domain_token_count,avgpathtokenlen,tld,ArgUrlRatio,NumberofDotsinURL,Arguments_LongestWordLength,spcharUrl,delimeter_Domain,delimeter_path,NumberRate_DirectoryName,SymbolCount_Domain,Entropy_Domain,class
2,13.5,2,0.524691,11,79,3,0,10,0,1,0.860529,benign
2,13.5,2,0.515723,11,76,3,0,10,0,1,0.860529,benign
2,13.5,2,0.465278,10,61,3,0,9,0,1,0.860529,benign
2,13.5,2,0.416667,9,49,3,0,8,0,1,0.860529,benign
2,9.5,2,0.356061,4,41,6,0,3,0.25,1,0.863489,benign
2,13.5,2,0.336207,5,33,3,0,4,0,1,0.860529,benign
2,13.5,2,0.324561,5,31,3,0,4,0,1,0.860529,benign
2,7.666667,2,0.339623,1,29,3,0,6,0,1,0.856864,benign
3,4.142857,3,0.679348,4,28,8,0,6,0.054422,2,0.831955,benign
3,4.142857,3,0.652941,4,28,8,0,6,0.06015,2,0.831955,benign
3,4.142857,3,0.682796,4,28,8,0,6,0.053691,2,0.831955,benign
3,4.142857,3,0.682796,4,28,8,0,6,0.053691,2,0.831955,benign
3,4.142857,3,0.682796,4,28,8,0,6,0.053691,2,0.831955,benign
3,4.142857,3,0.674033,4,28,8,0,6,0.055556,2,0.831955,benign
3,4.285714,3,0.64497,3,28,8,0,5,0.030303,2,0.831955,benign
2,2.5,2,0.464789,1,28,9,0,0,0,1,0.931745,benign
3,6.25,3,0.402439,2,26,5,1,5,0,2,0.860529,benign
3,4.857143,3,0.646409,4,26,8,0,6,0.068493,2,0.831955,benign
2,5.444445,2,0.305556,2,26,5,0,4,0,1,1,benign
2,3.166667,2,0.468354,2,25,5,0,4,0,1,0.939794,benign
2,3.166667,2,0.468354,2,25,5,0,4,0,1,0.939794,benign
3,4,3,0.469697,2,24,4,1,2,0,2,0.860529,benign
2,2.5,2,0.491228,1,24,2,0,2,0,1,0.850608,benign
3,4.857143,3,0.623529,4,23,8,0,6,0.072464,2,0.831955,benign
3,4.571429,3,0.610063,3,23,8,0,5,0.047244,2,0.831955,benign
3,4.857143,3,0.609756,3,23,8,0,5,0.030303,2,0.831955,benign
3,4.857143,3,0.625731,4,23,8,0,6,0.071942,2,0.831955,benign
3,4.857143,3,0.634286,4,23,8,0,6,0.06993,2,0.831955,benign
3,5,3,0.444444,3,22,8,0,4,0.036145,2,0.831955,benign
2,3.142857,2,0.598361,1,21,3,0,10,0,1,0.958425,benign
2,3.142857,2,0.598361,1,21,3,0,10,0,1,0.958425,benign
2,5.75,2,0.358974,1,21,4,0,3,0,1,0.9375,benign
2,5.6,2,0.333333,1,21,4,0,4,0,1,0.9375,benign
2,5.333334,2,0.314607,1,21,4,0,5,0,1,0.9375,benign
2,5.2,2,0.341463,1,21,4,0,4,0,1,0.9375,benign
2,7,2,0.337349,1,21,4,0,3,0.043478,1,0.9375,benign
2,6.2,2,0.321839,1,21,4,0,4,0,1,0.9375,benign
2,4.8,2,0.35,1,21,4,0,4,0,1,0.9375,benign
2,5.8,2,0.329412,1,21,4,0,4,0,1,0.9375,benign
2,5.833334,2,0.304348,1,21,4,0,5,0,1,0.9375,benign
2,4.2,2,0.363636,1,21,4,0,4,0,1,0.9375,benign
2,4,2,0.525424,3,21,2,0,4,0,1,0.871049,benign
