domain_token_count,avgpathtokenlen,tld,domainlength,ArgUrlRatio,argDomanRatio,argPathRatio,NumberofDotsinURL,CharacterContinuityRate,NumberRate_URL,NumberRate_FileName,NumberRate_AfterPath,SymbolCount_Domain,Entropy_Domain,Entropy_Extension,class
4.000,4.400,4.000,25.000,0.034,0.080,0.077,5.000,0.600,0.017,0.067,-1.000,3.000,0.784,0.000,Defacement
4.000,6.000,4.000,25.000,0.030,0.080,0.059,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,5.800,4.000,25.000,0.031,0.080,0.061,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,5.500,4.000,25.000,0.018,0.080,0.026,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,7.333,4.000,25.000,0.025,0.080,0.041,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,6.500,4.000,25.000,0.022,0.080,0.034,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,7.800,4.000,25.000,0.027,0.080,0.047,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,6.286,4.000,25.000,0.024,0.080,0.040,4.000,0.600,0.098,0.320,-1.000,3.000,0.784,0.000,Defacement
4.000,6.500,4.000,25.000,0.026,0.080,0.045,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,3.600,4.000,25.000,0.037,0.080,0.091,5.000,0.600,0.019,0.091,-1.000,3.000,0.784,0.000,Defacement
4.000,5.714,4.000,25.000,0.026,0.080,0.043,4.000,0.600,0.103,0.320,-1.000,3.000,0.784,0.000,Defacement
4.000,4.778,4.000,25.000,0.024,0.080,0.039,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,3.400,4.000,25.000,0.038,0.080,0.095,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,4.000,4.000,25.000,0.039,0.080,0.105,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,4.200,4.000,25.000,0.035,0.080,0.080,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,3.800,4.000,25.000,0.036,0.080,0.087,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,5.625,4.000,25.000,0.024,0.080,0.038,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,4.000,4.000,25.000,0.036,0.080,0.083,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,5.158,4.000,25.000,0.014,0.080,0.017,4.000,0.600,0.061,0.104,-1.000,3.000,0.784,0.000,Defacement
4.000,4.950,4.000,25.000,0.013,0.080,0.017,4.000,0.600,0.033,0.043,-1.000,3.000,0.784,0.000,Defacement
4.000,5.600,4.000,25.000,0.015,0.080,0.020,4.000,0.600,0.038,0.061,-1.000,3.000,0.784,0.000,Defacement
4.000,4.483,4.000,25.000,0.010,0.080,0.013,4.000,0.600,0.026,0.027,-1.000,3.000,0.784,0.000,Defacement
4.000,5.476,4.000,25.000,0.012,0.080,0.015,4.000,0.600,0.030,0.035,-1.000,3.000,0.784,0.000,Defacement
4.000,5.217,4.000,25.000,0.011,0.080,0.014,4.000,0.600,0.029,0.032,-1.000,3.000,0.784,0.000,Defacement
4.000,5.154,4.000,25.000,0.010,0.080,0.013,4.000,0.600,0.047,0.063,-1.000,3.000,0.784,0.000,Defacement
4.000,5.167,4.000,25.000,0.014,0.080,0.018,4.000,0.600,0.035,0.049,-1.000,3.000,0.784,0.000,Defacement
4.000,5.833,4.000,25.000,0.028,0.080,0.050,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,5.111,4.000,25.000,0.023,0.080,0.037,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,5.500,4.000,25.000,0.024,0.080,0.039,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,5.222,4.000,25.000,0.023,0.080,0.036,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,5.429,4.000,25.000,0.026,0.080,0.045,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.000,Defacement
4.000,1.333,4.000,25.000,0.053,0.080,0.333,4.000,0.600,0.000,0.000,-1.000,3.000,0.784,0.579,Defacement
4.000,3.000,4.000,21.000,0.051,0.095,0.182,4.000,0.524,0.000,0.000,-1.000,3.000,0.832,1.000,Defacement
4.000,1.333,4.000,21.000,0.059,0.095,0.333,4.000,0.524,0.000,0.000,-1.000,3.000,0.832,0.579,Defacement
4.000,3.000,4.000,28.000,0.043,0.071,0.182,4.000,0.643,0.000,0.000,-1.000,3.000,0.769,1.000,Defacement
4.000,3.750,4.000,28.000,0.038,0.071,0.111,4.000,0.643,0.000,0.000,-1.000,3.000,0.769,1.000,Defacement
4.000,2.333,4.000,28.000,0.045,0.071,0.222,4.000,0.643,0.023,0.125,-1.000,3.000,0.769,0.000,Defacement
4.000,3.500,4.000,28.000,0.470,1.679,0.723,4.000,0.643,0.040,0.070,0.085,3.000,0.769,0.757,Defacement
4.000,3.500,4.000,28.000,0.475,1.714,0.727,4.000,0.643,0.050,0.086,0.104,3.000,0.769,0.756,Defacement
4.000,3.500,4.000,28.000,0.470,1.679,0.723,4.000,0.643,0.040,0.070,0.085,3.000,0.769,0.750,Defacement
4.000,3.500,4.000,28.000,0.475,1.714,0.727,4.000,0.643,0.050,0.086,0.104,3.000,0.769,0.756,Defacement
4.000,3.500,4.000,28.000,0.470,1.679,0.723,4.000,0.643,0.040,0.070,0.085,3.000,0.769,0.757,Defacement
4.000,3.500,4.000,28.000,0.475,1.714,0.727,4.000,0.643,0.050,0.086,0.104,3.000,0.769,0.756,Defacement
4.000,3.500,4.000,28.000,0.475,1.714,0.727,4.000,0.643,0.050,0.086,0.104,3.000,0.769,0.763,Defacement
4.000,3.500,4.000,28.000,0.475,1.714,0.727,4.000,0.643,0.050,0.086,0.104,3.000,0.769,0.750,Defacement
4.000,1.333,4.000,28.000,0.049,0.071,0.333,4.000,0.643,0.000,0.000,-1.000,3.000,0.769,0.579,Defacement
2.000,3.000,2.000,11.000,0.069,0.182,0.182,2.000,0.727,0.000,0.000,-1.000,1.000,0.947,1.000,Defacement
2.000,2.500,2.000,11.000,0.065,0.182,0.154,2.000,0.727,0.000,0.000,-1.000,1.000,0.947,1.000,Defacement
3.000,3.000,3.000,20.000,0.053,0.100,0.182,3.000,0.650,0.000,0.000,-1.000,2.000,0.806,1.000,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.747,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.747,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.747,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.742,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.742,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.742,Defacement
3.000,2.667,3.000,20.000,0.608,2.950,0.843,3.000,0.650,0.031,0.043,0.051,2.000,0.806,0.742,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.742,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.747,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.747,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.742,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.747,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.747,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.747,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.747,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.747,Defacement
3.000,2.667,3.000,20.000,0.608,2.950,0.843,3.000,0.650,0.031,0.043,0.051,2.000,0.806,0.742,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.747,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.747,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.737,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.747,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.742,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.747,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.747,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.742,Defacement
3.000,2.667,3.000,20.000,0.612,3.000,0.845,3.000,0.650,0.041,0.057,0.067,2.000,0.806,0.747,Defacement
3.000,2.667,3.000,20.000,0.563,2.450,0.817,3.000,0.650,0.046,0.068,0.082,2.000,0.806,0.796,Defacement
3.000,2.667,3.000,20.000,0.734,5.250,0.905,3.000,0.650,0.077,0.096,0.105,2.000,0.806,0.664,Defacement
3.000,2.667,3.000,20.000,0.683,4.100,0.882,3.000,0.650,0.092,0.120,0.134,2.000,0.806,0.705,Defacement
3.000,2.667,3.000,20.000,0.714,4.750,0.896,3.000,0.650,0.083,0.105,0.116,2.000,0.806,0.677,Defacement
3.000,2.667,3.000,20.000,0.686,4.150,0.883,3.000,0.650,0.091,0.118,0.133,2.000,0.806,0.707,Defacement
3.000,2.667,3.000,20.000,0.730,5.150,0.904,3.000,0.650,0.050,0.062,0.068,2.000,0.806,0.657,Defacement
3.000,2.667,3.000,20.000,0.694,4.300,0.887,3.000,0.650,0.032,0.042,0.047,2.000,0.806,0.666,Defacement
3.000,2.667,3.000,20.000,0.727,5.050,0.902,3.000,0.650,0.108,0.135,0.149,2.000,0.806,0.693,Defacement
3.000,2.667,3.000,20.000,0.743,5.500,0.909,3.000,0.650,0.041,0.050,0.055,2.000,0.806,0.626,Defacement
3.000,2.667,3.000,20.000,0.694,4.300,0.887,3.000,0.650,0.089,0.115,0.128,2.000,0.806,0.705,Defacement
3.000,2.667,3.000,20.000,0.701,4.450,0.890,3.000,0.650,0.079,0.101,0.112,2.000,0.806,0.693,Defacement
3.000,2.667,3.000,20.000,0.683,4.100,0.882,3.000,0.650,0.083,0.109,0.122,2.000,0.806,0.693,Defacement
3.000,2.667,3.000,20.000,0.784,6.900,0.926,3.000,0.650,0.091,0.108,0.116,2.000,0.806,0.755,Defacement
3.000,2.667,3.000,20.000,0.734,5.250,0.905,3.000,0.650,0.070,0.087,0.095,2.000,0.806,0.655,Defacement
3.000,2.667,3.000,20.000,0.806,7.900,0.935,3.000,0.650,0.092,0.107,0.114,2.000,0.806,0.748,Defacement
3.000,2.667,3.000,20.000,0.686,4.150,0.883,3.000,0.650,0.083,0.108,0.120,2.000,0.806,0.696,Defacement
3.000,2.667,3.000,20.000,0.774,6.500,0.922,3.000,0.650,0.089,0.107,0.115,2.000,0.806,0.769,Defacement
3.000,2.667,3.000,20.000,0.714,4.750,0.896,3.000,0.650,0.075,0.095,0.105,2.000,0.806,0.690,Defacement
3.000,2.667,3.000,20.000,0.802,7.700,0.933,3.000,0.650,0.104,0.122,0.130,2.000,0.806,0.745,Defacement
3.000,2.667,3.000,20.000,0.714,4.750,0.896,3.000,0.650,0.083,0.105,0.116,2.000,0.806,0.702,Defacement
3.000,2.667,3.000,20.000,0.730,5.150,0.904,3.000,0.650,0.043,0.053,0.058,2.000,0.806,0.652,Defacement
3.000,2.667,3.000,20.000,0.802,7.700,0.933,3.000,0.650,0.115,0.134,0.143,2.000,0.806,0.738,Defacement
3.000,2.667,3.000,20.000,0.736,5.300,0.906,3.000,0.650,0.063,0.078,0.085,2.000,0.806,0.666,Defacement
3.000,2.667,3.000,20.000,0.725,5.000,0.901,3.000,0.650,0.043,0.055,0.060,2.000,0.806,0.676,Defacement
3.000,2.667,3.000,20.000,0.694,4.300,0.887,3.000,0.650,0.056,0.073,0.081,2.000,0.806,0.704,Defacement
3.000,2.667,3.000,20.000,0.708,4.600,0.893,3.000,0.650,0.085,0.108,0.120,2.000,0.806,0.707,Defacement
3.000,2.667,3.000,20.000,0.689,4.200,0.884,3.000,0.650,0.090,0.117,0.131,2.000,0.806,0.715,Defacement
3.000,2.667,3.000,20.000,0.745,5.550,0.910,3.000,0.650,0.101,0.124,0.135,2.000,0.806,0.678,Defacement
3.000,2.667,3.000,20.000,0.712,4.700,0.895,3.000,0.650,0.053,0.067,0.074,2.000,0.806,0.685,Defacement
3.000,2.667,3.000,20.000,0.734,5.250,0.905,3.000,0.650,0.049,0.061,0.067,2.000,0.806,0.647,Defacement
3.000,2.667,3.000,20.000,0.736,5.300,0.906,3.000,0.650,0.076,0.095,0.104,2.000,0.806,0.683,Defacement
3.000,2.667,3.000,20.000,0.694,4.300,0.887,3.000,0.650,0.089,0.115,0.128,2.000,0.806,0.707,Defacement
3.000,2.667,3.000,20.000,0.689,4.200,0.884,3.000,0.650,0.057,0.074,0.083,2.000,0.806,0.683,Defacement
