domain_token_count,avgdomaintokenlen,tld,domainlength,pathurlRatio,argDomanRatio,domainUrlRatio,pathDomainRatio,NumberofDotsinURL,CharacterContinuityRate,host_letter_count,LongestPathTokenLength,SymbolCount_Domain,Entropy_Domain,class
2.00,5.50,2.00,12.00,0.76,0.17,0.15,5.08,1.00,0.75,11.00,48.00,1.00,0.86,benign
3.00,5.00,3.00,17.00,0.69,0.12,0.22,3.18,3.00,0.65,15.00,40.00,2.00,0.78,benign
2.00,4.00,2.00,9.00,0.76,0.78,0.13,6.00,1.00,0.67,8.00,22.00,1.00,1.00,benign
2.00,4.50,2.00,10.00,0.73,0.20,0.16,4.70,1.00,0.80,9.00,33.00,1.00,0.88,benign
2.00,6.00,2.00,13.00,0.71,2.69,0.19,3.69,2.00,0.77,12.00,39.00,1.00,0.83,benign
2.00,5.50,2.00,12.00,0.72,0.17,0.17,4.17,2.00,0.83,11.00,44.00,1.00,0.86,benign
2.00,4.50,2.00,10.00,0.82,0.20,0.11,7.60,1.00,0.70,9.00,61.00,1.00,0.94,benign
2.00,3.50,2.00,8.00,0.78,0.25,0.12,6.63,1.00,0.63,7.00,45.00,1.00,0.92,benign
2.00,2.50,2.00,6.00,0.79,0.33,0.10,8.17,2.00,0.67,5.00,17.00,1.00,1.00,benign
2.00,4.50,2.00,10.00,0.83,0.20,0.10,8.10,1.00,0.70,9.00,27.00,1.00,0.94,benign
2.00,5.50,2.00,12.00,0.64,0.17,0.23,2.83,2.00,0.83,11.00,28.00,1.00,0.86,benign
2.00,5.50,2.00,12.00,0.83,3.08,0.11,7.92,5.00,0.75,11.00,40.00,1.00,0.86,benign
2.00,5.50,2.00,12.00,0.70,0.17,0.19,3.67,2.00,0.83,11.00,38.00,1.00,0.86,benign
2.00,4.50,2.00,10.00,0.85,0.20,0.09,9.40,1.00,0.70,9.00,77.00,1.00,0.88,benign
2.00,6.00,2.00,13.00,0.72,3.00,0.18,4.00,2.00,0.77,12.00,43.00,1.00,0.83,benign
2.00,4.50,2.00,10.00,0.69,0.20,0.19,3.70,2.00,0.70,9.00,18.00,1.00,0.94,benign
2.00,7.00,2.00,15.00,0.60,0.13,0.27,2.20,1.00,0.80,14.00,16.00,1.00,0.90,benign
2.00,8.00,2.00,17.00,0.69,0.12,0.22,3.18,1.00,0.82,16.00,47.00,1.00,0.72,benign
2.00,6.50,2.00,14.00,0.75,0.14,0.16,4.57,1.00,0.79,13.00,49.00,1.00,0.80,benign
3.00,2.67,3.00,10.00,0.69,0.20,0.18,3.80,2.00,0.40,8.00,16.00,2.00,0.82,benign
2.00,4.50,2.00,10.00,0.82,0.20,0.10,7.90,1.00,0.70,9.00,23.00,1.00,0.94,benign
2.00,3.50,2.00,8.00,0.81,0.25,0.10,8.00,1.00,0.63,7.00,48.00,1.00,0.92,benign
2.00,5.00,2.00,11.00,0.69,0.18,0.19,3.73,1.00,0.64,9.00,9.00,1.00,1.00,benign
3.00,3.00,3.00,11.00,0.83,0.18,0.11,7.73,2.00,0.55,9.00,72.00,2.00,0.89,benign
2.00,3.50,2.00,8.00,0.79,0.25,0.11,6.88,1.00,0.63,7.00,45.00,1.00,0.92,benign
2.00,5.50,2.00,12.00,0.74,1.08,0.16,4.50,1.00,0.75,11.00,23.00,1.00,0.95,benign
