domain_token_count,tld,ldl_getArg,NumberofDotsinURL,delimeter_path,SymbolCount_Domain,class
2,2,0,1,7,1,benign
3,3,0,3,8,2,benign
2,2,0,1,3,1,benign
2,2,0,1,3,1,benign
2,2,0,2,4,1,benign
2,2,0,2,8,1,benign
2,2,0,1,8,1,benign
2,2,0,1,8,1,benign
2,2,0,2,2,1,benign
2,2,0,1,7,1,benign
2,2,0,2,4,1,benign
2,2,0,5,4,1,benign
2,2,0,2,7,1,benign
2,2,0,1,14,1,benign
2,2,0,2,4,1,benign
2,2,0,2,3,1,benign
2,2,0,1,3,1,benign
2,2,0,1,6,1,benign
2,2,0,1,8,1,benign
3,3,0,2,5,2,benign
2,2,0,1,4,1,benign
2,2,0,1,10,1,benign
2,2,0,1,0,1,benign
3,3,0,2,11,2,benign
2,2,0,1,6,1,benign
2,2,0,1,4,1,benign
2,2,0,1,14,1,benign
2,2,0,2,1,1,benign
2,2,0,1,3,1,benign
2,2,0,1,4,1,benign
2,2,0,2,8,1,benign
2,2,0,1,4,1,benign
2,2,0,1,0,1,benign
3,3,0,3,1,2,benign
2,2,0,1,0,1,benign
2,2,0,1,9,1,benign
2,2,0,1,6,1,benign
2,2,0,1,11,1,benign
2,2,0,1,8,1,benign
2,2,0,1,0,1,benign
2,2,0,1,4,1,benign
2,2,0,2,5,1,benign
2,2,0,1,4,1,benign
2,2,0,11,10,1,benign
2,2,1,9,8,1,benign
2,2,3,2,3,1,benign
3,3,0,2,5,2,benign
2,2,1,2,1,1,benign
3,3,0,2,3,2,benign
2,2,0,1,13,1,benign
3,3,0,3,10,2,benign
2,2,0,1,11,1,benign
2,2,0,1,8,1,benign
2,2,0,1,3,1,benign
2,2,0,1,3,1,benign
2,2,0,1,2,1,benign
2,2,0,1,0,1,benign
2,2,0,2,6,1,benign
2,2,0,2,4,1,benign
2,2,0,1,9,1,benign
2,2,0,2,2,1,benign
2,2,0,1,2,1,benign
2,2,0,2,7,1,benign
2,2,0,2,5,1,benign
2,2,0,2,2,1,benign
2,2,0,2,1,1,benign
2,2,0,1,9,1,benign
2,2,0,1,10,1,benign
